,path,latency,noise,snr
177,A ,0.0075051921419584215,0.0015,28.239087409443187
178,A ->B ,0.0075051921419584215,0.0015,28.239087409443187
179,A ->B ->F ,0.0075051921419584215,0.0015,28.239087409443187
180,A ->B ->F ->E ,0.0075051921419584215,0.0015,28.239087409443187
181,A ,0.01050726899874179,0.0021000000000000003,26.777807052660805
182,A ->C ,0.01050726899874179,0.0021000000000000003,26.777807052660805
183,A ->C ->D ,0.01050726899874179,0.0021000000000000003,26.777807052660805
184,A ->C ->D ->B ,0.01050726899874179,0.0021000000000000003,26.777807052660805
185,A ->C ->D ->B ->F ,0.01050726899874179,0.0021000000000000003,26.777807052660805
186,A ->C ->D ->B ->F ->E ,0.01050726899874179,0.0021000000000000003,26.777807052660805
187,A ,0.005003461427972281,0.001,30.0
188,A ->C ,0.005003461427972281,0.001,30.0
189,A ->C ->D ,0.005003461427972281,0.001,30.0
190,A ->C ->D ->E ,0.005003461427972281,0.001,30.0
191,A ,0.01050726899874179,0.0021000000000000003,26.777807052660805
192,A ->C ,0.01050726899874179,0.0021000000000000003,26.777807052660805
193,A ->C ->D ,0.01050726899874179,0.0021000000000000003,26.777807052660805
194,A ->C ->D ->F ,0.01050726899874179,0.0021000000000000003,26.777807052660805
195,A ->C ->D ->F ->E ,0.01050726899874179,0.0021000000000000003,26.777807052660805
196,A ,0.0030020768567833684,0.0006000000000000001,32.21848749616356
197,A ->C ,0.0030020768567833684,0.0006000000000000001,32.21848749616356
198,A ->C ->E ,0.0030020768567833684,0.0006000000000000001,32.21848749616356
199,A ,0.0075051921419584215,0.0015,28.239087409443187
200,A ->D ,0.0075051921419584215,0.0015,28.239087409443187
201,A ->D ->B ,0.0075051921419584215,0.0015,28.239087409443187
202,A ->D ->B ->F ,0.0075051921419584215,0.0015,28.239087409443187
203,A ->D ->B ->F ->E ,0.0075051921419584215,0.0015,28.239087409443187
204,A ,0.005003461427972281,0.001,30.0
205,A ->D ,0.005003461427972281,0.001,30.0
206,A ->D ->C ,0.005003461427972281,0.001,30.0
207,A ->D ->C ->E ,0.005003461427972281,0.001,30.0
208,A ,0.0020013845711889123,0.0004,33.979400086720375
209,A ->D ,0.0020013845711889123,0.0004,33.979400086720375
210,A ->D ->E ,0.0020013845711889123,0.0004,33.979400086720375
211,A ,0.0075051921419584215,0.0015,28.239087409443187
212,A ->D ,0.0075051921419584215,0.0015,28.239087409443187
213,A ->D ->F ,0.0075051921419584215,0.0015,28.239087409443187
214,A ->D ->F ->E ,0.0075051921419584215,0.0015,28.239087409443187
215,A ,0.01175813435573486,0.0023499999999999997,26.289321377282636
216,A ->B ,0.01175813435573486,0.0023499999999999997,26.289321377282636
217,A ->B ->D ,0.01175813435573486,0.0023499999999999997,26.289321377282636
218,A ->B ->D ->C ,0.01175813435573486,0.0023499999999999997,26.289321377282636
219,A ->B ->D ->C ->E ,0.01175813435573486,0.0023499999999999997,26.289321377282636
220,A ->B ->D ->C ->E ->F ,0.01175813435573486,0.0023499999999999997,26.289321377282636
221,A ,0.008756057498951492,0.00175,27.569619513137056
222,A ->B ,0.008756057498951492,0.00175,27.569619513137056
223,A ->B ->D ,0.008756057498951492,0.00175,27.569619513137056
224,A ->B ->D ->E ,0.008756057498951492,0.00175,27.569619513137056
225,A ->B ->D ->E ->F ,0.008756057498951492,0.00175,27.569619513137056
226,A ,0.006754672927762579,0.00135,28.696662315049938
227,A ->B ,0.006754672927762579,0.00135,28.696662315049938
228,A ->B ->D ,0.006754672927762579,0.00135,28.696662315049938
229,A ->B ->D ->F ,0.006754672927762579,0.00135,28.696662315049938
230,A ,0.0037525960709792108,0.00075,31.249387366083
231,A ->B ,0.0037525960709792108,0.00075,31.249387366083
232,A ->B ->F ,0.0037525960709792108,0.00075,31.249387366083
233,A ,0.006754672927762579,0.00135,28.696662315049938
234,A ->C ,0.006754672927762579,0.00135,28.696662315049938
235,A ->C ->D ,0.006754672927762579,0.00135,28.696662315049938
236,A ->C ->D ->B ,0.006754672927762579,0.00135,28.696662315049938
237,A ->C ->D ->B ->F ,0.006754672927762579,0.00135,28.696662315049938
238,A ,0.008756057498951492,0.00175,27.569619513137056
239,A ->C ,0.008756057498951492,0.00175,27.569619513137056
240,A ->C ->D ,0.008756057498951492,0.00175,27.569619513137056
241,A ->C ->D ->E ,0.008756057498951492,0.00175,27.569619513137056
242,A ->C ->D ->E ->F ,0.008756057498951492,0.00175,27.569619513137056
243,A ,0.006754672927762579,0.00135,28.696662315049938
244,A ->C ,0.006754672927762579,0.00135,28.696662315049938
245,A ->C ->D ,0.006754672927762579,0.00135,28.696662315049938
246,A ->C ->D ->F ,0.006754672927762579,0.00135,28.696662315049938
247,A ,0.006754672927762579,0.00135,28.696662315049938
248,A ->C ,0.006754672927762579,0.00135,28.696662315049938
249,A ->C ->E ,0.006754672927762579,0.00135,28.696662315049938
250,A ->C ->E ->D ,0.006754672927762579,0.00135,28.696662315049938
251,A ->C ->E ->D ->B ,0.006754672927762579,0.00135,28.696662315049938
252,A ->C ->E ->D ->B ->F ,0.006754672927762579,0.00135,28.696662315049938
253,A ,0.006754672927762579,0.00135,28.696662315049938
254,A ->C ,0.006754672927762579,0.00135,28.696662315049938
255,A ->C ->E ,0.006754672927762579,0.00135,28.696662315049938
256,A ->C ->E ->D ,0.006754672927762579,0.00135,28.696662315049938
257,A ->C ->E ->D ->F ,0.006754672927762579,0.00135,28.696662315049938
258,A ,0.006754672927762579,0.00135,28.696662315049938
259,A ->C ,0.006754672927762579,0.00135,28.696662315049938
260,A ->C ->E ,0.006754672927762579,0.00135,28.696662315049938
261,A ->C ->E ->F ,0.006754672927762579,0.00135,28.696662315049938
262,A ,0.0037525960709792108,0.00075,31.249387366083
263,A ->D ,0.0037525960709792108,0.00075,31.249387366083
264,A ->D ->B ,0.0037525960709792108,0.00075,31.249387366083
265,A ->D ->B ->F ,0.0037525960709792108,0.00075,31.249387366083
266,A ,0.008756057498951492,0.00175,27.569619513137056
267,A ->D ,0.008756057498951492,0.00175,27.569619513137056
268,A ->D ->C ,0.008756057498951492,0.00175,27.569619513137056
269,A ->D ->C ->E ,0.008756057498951492,0.00175,27.569619513137056
270,A ->D ->C ->E ->F ,0.008756057498951492,0.00175,27.569619513137056
271,A ,0.005753980642168123,0.00115,29.393021596463882
272,A ->D ,0.005753980642168123,0.00115,29.393021596463882
273,A ->D ->E ,0.005753980642168123,0.00115,29.393021596463882
274,A ->D ->E ->F ,0.005753980642168123,0.00115,29.393021596463882
275,A ,0.0037525960709792108,0.00075,31.249387366083
276,A ->D ,0.0037525960709792108,0.00075,31.249387366083
277,A ->D ->F ,0.0037525960709792108,0.00075,31.249387366083
278,B ,0.0025017307139861404,0.0005,33.01029995663981
279,B ->A ,0.0025017307139861404,0.0005,33.01029995663981
280,B ,0.0025017307139861404,0.0005,33.01029995663981
281,B ->D ,0.0025017307139861404,0.0005,33.01029995663981
282,B ->D ->A ,0.0025017307139861404,0.0005,33.01029995663981
283,B ,0.005503807570769509,0.0011,29.58607314841775
284,B ->D ,0.005503807570769509,0.0011,29.58607314841775
285,B ->D ->C ,0.005503807570769509,0.0011,29.58607314841775
286,B ->D ->C ->A ,0.005503807570769509,0.0011,29.58607314841775
287,B ,0.005503807570769509,0.0011,29.58607314841775
288,B ->D ,0.005503807570769509,0.0011,29.58607314841775
289,B ->D ->E ,0.005503807570769509,0.0011,29.58607314841775
290,B ->D ->E ->C ,0.005503807570769509,0.0011,29.58607314841775
291,B ->D ->E ->C ->A ,0.005503807570769509,0.0011,29.58607314841775
292,B ,0.011007615141539018,0.0022,26.575773191777937
293,B ->D ,0.011007615141539018,0.0022,26.575773191777937
294,B ->D ->F ,0.011007615141539018,0.0022,26.575773191777937
295,B ->D ->F ->E ,0.011007615141539018,0.0022,26.575773191777937
296,B ->D ->F ->E ->C ,0.011007615141539018,0.0022,26.575773191777937
297,B ->D ->F ->E ->C ->A ,0.011007615141539018,0.0022,26.575773191777937
298,B ,0.005003461427972281,0.001,30.0
299,B ->F ,0.005003461427972281,0.001,30.0
300,B ->F ->D ,0.005003461427972281,0.001,30.0
301,B ->F ->D ->A ,0.005003461427972281,0.001,30.0
302,B ,0.00800553828475565,0.0015999999999999999,27.958800173440753
303,B ->F ,0.00800553828475565,0.0015999999999999999,27.958800173440753
304,B ->F ->D ,0.00800553828475565,0.0015999999999999999,27.958800173440753
